institutionCode,catalogNumber,otherIdentifier,otherNumber,month,year,binomial,Freshly_killed,massing,totalLength,tailLength,headbodyLength,sex,ageClass,reproductivelyActive,Liver_mass,Cecum_full_mass,Cecum_length,Cecum_curved_length,Cecum_empty_mass,Cecum_dry_mass,Stomach_full_mass,Stomach_length,Stomach_curved_length,Stomach_empty_mass,Stomach_dry_mass,LI_full_mass,LI_length,LI_empty_mass,LI_dry_mass,SI_full_mass,SI_length,SI_empty_mass,SI_dry_mass,Intestine_full_mass (shrew/mole only),Intestine_length (shrew/mole only),Intestine_empty_mass (shrew/mole only),Intestine_dry_mass (shrew/mole only),Total_GI_length ,Total_GI_length_scaled
UNCG,230,,,May,2022,Sorex cinereus,Unknown,3.5,93,38,55,Male,adult,No,,,,,,,0.0444,8,12,0.0332,0.0048,,,,,,,,,0.3026,158,0.1152,0.0168,170,3.090909091
UNCG,231,,,May,2022,Sorex cinereus,Unknown,3.5,98,42,56,Female,adult,No,,,,,,,0.0677,14,16,0.0559,0.0116,,,,,,,,,0.362,162,0.1264,0.0152,178,3.178571429
UNCG,232,,,May,2022,Blarina brevicauda,Unknown,11,118,28,90,Male,adult,No,,,,,,,0.1291,15,19,0.0669,0.1014,,,,,,,,,1.2367,229,0.3105,0.0365,248,2.755555556
UNCG,233,,,May,2022,Microtus pennsylvanicus ,Yes,25,137,41,96,Female,adult,No,,2.6585,95,112,0.4017,0.0606,0.5148,23,29,0.3128,0.0701,0.5143,208,0.3589,0.0669,1.2576,297,0.7155,0.1528,,,,,646,6.729166667
UNCG,234,,,May,2022,Sorex cinereus,Unknown,3,87,37,50,Male,adult,No,,,,,,,0.0425,12,14,0.0351,0.0053,,,,,,,,,0.1934,126,0.0989,0.0133,140,2.8
UNCG,235,,,May,2022,Myodes gapperi,Yes,[27],160,53,107,Male,adult,Yes,,2.2167,79,88,0.5538,0.1029,0.4404,29,31,0.3789,0.0835,0.3761,213,0.3108,0.0648,1.3245,426,0.5325,0.1075,,,,,758,7.08411215
UNCG,236,,,May,2022,Sorex cinereus,No ,3,99,42,57,Male,adult,No,,,,,,,0.0541,13,15,0.0207,0.0032,,,,,,,,,0.2472,180,0.0892,0.0128,195,3.421052632
UNCG,237,,,May,2022,Myodes gapperi,No ,32.5,145,44,101,Female,adult,Yes,,2.4356,99,106,0.4036,0.0548,0.5576,26,35,0.2971,0.0553,0.6911,212,0.2969,0.0491,1.7103,,0.7418,0.098,,,,,,
UNCG,238,,,May,2022,Sorex cinereus,No ,3.25,97,42,55,Male,adult,No,,,,,,,0.0364,9,10,0.0244,0.0034,,,,,,,,,0.2938,207,0.0971,0.0131,217,3.945454545
UNCG,239,,,May,2022,Sorex cinereus,No ,3.5,103,46,57,Female,adult,No,,,,,,,0.0417,15,15,0.0201,0.0036,,,,,,,,,0.5044,246,0.1463,0.0239,261,4.578947368
UNCG,240,,,May,2022,Sorex fumeus ,No ,6.5,117,49,68,Male,adult,No,,,,,,,0.0782,15,16,0.0459,0.006,,,,,,,,,0.7987,250,0.2685,0.0405,266,3.911764706
